playerId,name,proTeam,position,proj_points
4362628,Ja'Marr Chase,CIN,WR,288.04
3929630,Saquon Barkley,PHI,RB,310.09
4429795,Jahmyr Gibbs,DET,RB,291.81
4430807,Bijan Robinson,ATL,RB,311.42
4262921,Justin Jefferson,MIN,WR,265.67
4374302,Amon-Ra St. Brown,DET,WR,236.87
4241389,CeeDee Lamb,DAL,WR,264.1
3117251,Christian McCaffrey,SF,RB,287.71
3918298,Josh Allen,BUF,QB,375.11
4426515,Puka Nacua,LAR,WR,252.01
4432665,Brock Bowers,LV,TE,211.87
3043078,Derrick Henry,BAL,RB,280.02
3916387,Lamar Jackson,BAL,QB,371.59
4595348,Malik Nabers,NYG,WR,253.77
4040715,Jalen Hurts,PHI,QB,372.49
4426348,Jayden Daniels,WSH,QB,381.12
4258173,Nico Collins,HOU,WR,244.76
3040151,George Kittle,SF,TE,189.86
4361307,Trey McBride,ARI,TE,205.94
4047646,A.J. Brown,PHI,WR,235.6
4047365,Josh Jacobs,GB,RB,267.57
4242335,Jonathan Taylor,IND,RB,280.09
3915511,Joe Burrow,CIN,QB,341.25
4432773,Brian Thomas Jr.,JAX,WR,227.54
4890973,Ashton Jeanty,LV,RB,274.31
4429160,De'Von Achane,MIA,RB,274.14
4596448,Bucky Irving,TB,RB,261.73
4239993,Tee Higgins,CIN,WR,221.69
4426502,Drake London,ATL,WR,222.74
4379399,James Cook,BUF,RB,256.58
4430737,Kyren Williams,LAR,RB,267.1
4430027,Sam LaPorta,DET,TE,155.91
4612826,Ladd McConkey,LAC,WR,209.82
3116406,Tyreek Hill,MIA,WR,220.97
4362238,Chase Brown,CIN,RB,252.88
16800,Davante Adams,LAR,WR,218.53
-16023,Steelers D/ST,PIT,D/ST,138.54
4689936,Jake Bates,DET,K,120.22
-16007,Broncos D/ST,DEN,D/ST,134.06
4430878,Jaxon Smith-Njigba,SEA,WR,200.07
3121422,Terry McLaurin,WSH,WR,208.81
3054850,Alvin Kamara,NO,RB,234.56
16737,Mike Evans,TB,WR,198.26
4047650,DK Metcalf,PIT,WR,203.18
4569618,Garrett Wilson,NYJ,WR,199.88
4683062,Xavier Worthy,KC,WR,212.46
3139477,Patrick Mahomes,KC,QB,334.58
3953687,Brandon Aubrey,DAL,K,115.29
4567048,Kenneth Walker III,SEA,RB,219.65
4241416,Chuba Hubbard,CAR,RB,239.01
4432708,Marvin Harrison Jr.,ARI,WR,202.51
4685382,Omarion Hampton,LAC,RB,243.32
3150744,Chase McLaughlin,TB,K,120.13
4362081,Cameron Dicker,LAC,K,116.84
4036133,T.J. Hockenson,MIN,TE,145.93
15847,Travis Kelce,KC,TE,143.27
3045147,James Conner,ARI,RB,231.06
-16034,Texans D/ST,HOU,D/ST,133.23
3052587,Baker Mayfield,TB,QB,318.84
4427366,Breece Hall,NYJ,RB,206.5
4429615,Zay Flowers,BAL,WR,199.23
3915416,DJ Moore,CHI,WR,197.14
4432710,TreVeyon Henderson,NE,RB,205.68
4259545,D'Andre Swift,CHI,RB,211.82
3128429,Courtland Sutton,DEN,WR,192.81
4035538,David Montgomery,DET,RB,197.92
-16016,Vikings D/ST,MIN,D/ST,126.35
3123076,David Njoku,CLE,TE,141.71
3116365,Mark Andrews,BAL,TE,143.75
4685415,Travis Hunter,JAX,WR,175.44
4426338,Bo Nix,DEN,QB,309.06
4241478,DeVonta Smith,PHI,WR,181.77
4426354,George Pickens,DAL,WR,187.68
4241463,Jerry Jeudy,CLE,WR,190.81
4361529,Isiah Pacheco,KC,RB,192.98
3925357,Calvin Ridley,TEN,WR,199.41
4372016,Jaylen Waddle,MIA,WR,186.15
4426388,Jameson Williams,DET,WR,189.41
4685472,Tetairoa McMillan,CAR,WR,197.42
3042519,Aaron Jones Sr.,MIN,RB,193.18
-16033,Ravens D/ST,BAL,D/ST,128.68
3916148,Tony Pollard,TEN,RB,202.63
4428331,Rashee Rice,KC,WR,134.01
3051876,Evan Engram,DEN,TE,129.91
3917315,Kyler Murray,ARI,QB,314.1
4568490,RJ Harvey,DEN,RB,186.97
4431299,Rome Odunze,CHI,WR,184.12
4361741,Brock Purdy,SF,QB,316.24
4701936,Matthew Golden,GB,WR,171.88
2977187,Cooper Kupp,SEA,WR,166.4
4360516,Tyrone Tracy Jr.,NYG,RB,189.49
3916433,Jakobi Meyers,LV,WR,178.89
2976212,Stefon Diggs,NE,WR,165.09
3050478,Jake Elliott,PHI,K,115.27
4567750,Emeka Egbuka,TB,WR,148.94
4361370,Chris Olave,NO,WR,171.44
4569987,Jaylen Warren,PIT,RB,174.73
4431459,Tyler Warren,IND,TE,135.03
4038941,Justin Herbert,LAC,QB,291.78
3126486,Deebo Samuel,WSH,WR,173.55
4819231,Kaleb Johnson,PIT,RB,181.64
4428209,Ricky Pearsall,SF,WR,166.99
3917232,Tyler Bass,BUF,K,115.34
4035687,Michael Pittman Jr.,IND,WR,160.23
-16021,Eagles D/ST,PHI,D/ST,103.19
4241985,J.K. Dobbins,DEN,RB,154.35
4572680,Tucker Kraft,GB,TE,129.65
3068267,Austin Ekeler,WSH,RB,156.73
-16008,Lions D/ST,DET,D/ST,125.06
3116165,Chris Godwin Jr.,TB,WR,154.29
2577417,Dak Prescott,DAL,QB,295.61
4361579,Javonte Williams,DAL,RB,144.28
