name,proTeam,position,salary
Ja'Marr Chase,CIN,WR,45
Saquon Barkley,PHI,RB,57
Jahmyr Gibbs,DET,RB,53
Bijan Robinson,ATL,RB,59
Justin Jefferson,MIN,WR,40
CeeDee Lamb,DAL,WR,39
Amon-Ra St. Brown,DET,WR,33
Christian McCaffrey,SF,RB,50
Josh Allen,BUF,QB,18
Puka Nacua,LAR,WR,37
Brock Bowers,LV,TE,30
Derrick Henry,BAL,RB,48
Lamar Jackson,BAL,QB,18
Malik Nabers,NYG,WR,37
Jalen Hurts,PHI,QB,18
Jayden Daniels,WSH,QB,21
Nico Collins,HOU,WR,35
George Kittle,SF,TE,24
Trey McBride,ARI,TE,28
A.J. Brown,PHI,WR,33
Josh Jacobs,GB,RB,46
Jonathan Taylor,IND,RB,48
Joe Burrow,CIN,QB,12
Ashton Jeanty,LV,RB,45
De'Von Achane,MIA,RB,50
Brian Thomas Jr.,JAX,WR,31
Bucky Irving,TB,RB,45
Tee Higgins,CIN,WR,30
Drake London,ATL,WR,30
James Cook,BUF,RB,43
Kyren Williams,LAR,RB,46
Sam LaPorta,DET,TE,14
Ladd McConkey,LAC,WR,27
Tyreek Hill,MIA,WR,0
Chase Brown,CIN,RB,43
Davante Adams,LAR,WR,29
Steelers D/ST,PIT,D/ST,7
Broncos D/ST,DEN,D/ST,6
Jake Bates,DET,K,2
Jaxon Smith-Njigba,SEA,WR,25
Terry McLaurin,WSH,WR,27
Alvin Kamara,NO,RB,39
Mike Evans,TB,WR,24
DK Metcalf,PIT,WR,26
Garrett Wilson,NYJ,WR,25
Xavier Worthy,KC,WR,28
Patrick Mahomes,KC,QB,10
Brandon Aubrey,DAL,K,1
Kenneth Walker III,SEA,RB,34
Chuba Hubbard,CAR,RB,39
Marvin Harrison Jr.,ARI,WR,25
Omarion Hampton,LAC,RB,38
Chase McLaughlin,TB,K,2
Cameron Dicker,LAC,K,1
T.J. Hockenson,MIN,TE,10
Travis Kelce,KC,TE,10
James Conner,ARI,RB,37
Baker Mayfield,TB,QB,7
Texans D/ST,HOU,D/ST,6
Breece Hall,NYJ,RB,31
Zay Flowers,BAL,WR,25
DJ Moore,CHI,WR,24
TreVeyon Henderson,NE,RB,28
D'Andre Swift,CHI,RB,32
Courtland Sutton,DEN,WR,23
David Montgomery,DET,RB,28
Vikings D/ST,MIN,D/ST,4
David Njoku,CLE,TE,9
Mark Andrews,BAL,TE,10
Travis Hunter,JAX,WR,19
Bo Nix,DEN,QB,5
DeVonta Smith,PHI,WR,21
George Pickens,DAL,WR,22
Jerry Jeudy,CLE,WR,23
Isiah Pacheco,KC,RB,26
Calvin Ridley,TEN,WR,25
Jaylen Waddle,MIA,WR,22
Jameson Williams,DET,WR,22
Tetairoa McMillan,CAR,WR,24
Aaron Jones Sr.,MIN,RB,27
Ravens D/ST,BAL,D/ST,5
Tony Pollard,TEN,RB,29
Rashee Rice,KC,WR,10
Evan Engram,DEN,TE,6
Kyler Murray,ARI,QB,6
RJ Harvey,DEN,RB,24
Rome Odunze,CHI,WR,21
Brock Purdy,SF,QB,7
Matthew Golden,GB,WR,18
Cooper Kupp,SEA,WR,17
Tyrone Tracy Jr.,NYG,RB,26
Jakobi Meyers,LV,WR,20
Stefon Diggs,NE,WR,17
Jake Elliott,PHI,K,1
Emeka Egbuka,TB,WR,13
Chris Olave,NO,WR,18
Jaylen Warren,PIT,RB,22
Tyler Warren,IND,TE,8
Justin Herbert,LAC,QB,2
Deebo Samuel,WSH,WR,19
Kaleb Johnson,PIT,RB,23
Ricky Pearsall,SF,WR,17
Tyler Bass,BUF,K,1
Eagles D/ST,PHI,D/ST,0
Michael Pittman Jr.,IND,WR,16
J.K. Dobbins,DEN,RB,16
Tucker Kraft,GB,TE,6
Austin Ekeler,WSH,RB,17
Lions D/ST,DET,D/ST,4
Chris Godwin Jr.,TB,WR,14
Dak Prescott,DAL,QB,3
Javonte Williams,DAL,RB,14
Keon Coleman,BUF,WR,15
Cam Skattebo,NYG,RB,10
Chris Boswell,PIT,K,1
Colston Loveland,CHI,TE,5
Khalil Shakir,BUF,WR,16
Jordan Addison,MIN,WR,11
Jauan Jennings,SF,WR,16
Rhamondre Stevenson,NE,RB,18
Seahawks D/ST,SEA,D/ST,4
Jacory Croskey-Merritt,WSH,RB,16
Travis Etienne Jr.,JAX,RB,6
Harrison Butker,KC,K,1
Caleb Williams,CHI,QB,1
Joe Mixon,HOU,RB,0
Keenan Allen,LAC,WR,14
Patriots D/ST,NE,D/ST,0
Jordan Mason,MIN,RB,10
Justin Fields,NYJ,QB,5
Dallas Goedert,PHI,TE,5
